English,Överge,Syriac,Arabic
Lens ,,ܛܠܝ݂݂ܚܬܵܐ  ،   ܒܝ݂ܩܘ݂ܢܬܵܐ ,"عَدَسَة  ,  عَدَسية "
Lentil,,ܛܠܵܦ̮ܚܹ̈ܐ ,"عدسٌ  ,  نبات العدس "
Leopard,,"ܦܲܗܕܵܐ   ,   ܦܲܪܕܿܝ݂ܢ",فَهَد (إسم حيوان)
Lesbianism ,,ܕܲܩܵܩܵܐ ,"سِحاق  ,  السحاق (جِماع المرأة للمرأة)"
Lesion,,"ܡܲܪܥܵܐ , ܣܘ݂ܓܿܦܵܢܵܐ , ܟܘ݂ܪܗܵܢܵܐ , ܢܵܣܵܐ","آفة , داء , أذى , ضرر"
Less,,ܒܵܨܘܿܪܵܐ,أقَلْ
Lessee ,,ܐܵܓ݂ܘܿܪܵܐ ,"مُستأجِر  ,  المُستأجِر  ,  أجير ,  المؤجَّر له "
Lesson,,"ܕܘ݂ܪܵܫܵܐ   ,   ܩܸܪܝܵܢܵܐ   ,   ܗܸܪܓܵܐ","دَرْسٌ  ,  فَصْلٌ"
Lethal ,,ܩܵܛܘܿܿܠܵܐ ،  ܡܡܝ݂ܬ݂ܵܢܵܐ ،  ܐܲܒ݂ܕܵܢܵܝܵܐ ،  ܡܲܘܒܕ݂ܵܢܵܐ ,"مُميت  ,  مُهلك  "
Let,,ܦܵܣܹܣ ، ܦܣܵܣܵܐ ، ܫܵܒܹܩ ، ܫܒ݂ܵܩܵܐ  ، ܦܵܚܹܠ ، ܦܲܚܘܿܠܹܐ ، ܝܵܗܹܒ݂ ، ܝ݂ܗܵܒ݂ܵܐ ,"يسمح  ,  يأذن  ,  يرّخص  "
Letter,,ܐܵܬ݂ܘ݂ܬ݂ܵܐ      -     ܐܸܓܲܪܬܵܐ ،  ܣܲܩܪܵܐ ،  ܟܬ݂ܵܒ݂ܵܐ ,"حَرْفٌ أبجدي    -     رسالة  ,  خِطاب ,  كتاب"
Lettuce,,ܚܵܣܵܐ,خَسْ ( نبات)
Letup ,,ܦܲܘܫܵܐ ،  ܦܲܫܘ݂ܥܘ݂ܬ݂ܵܐ ،  ܫܘ݂ܠܵܝܵܐ ،  ܡܦܝ݂ܫܘ݂ܬ݂ܵܐ ،  ܩܘ݂ܛܵܥܵܐ ,"توقّفْ  ,  إنقطاعْ  ,  فتور "
Level,,"ܫܲܘܝܵܐ   ,   ܢܲܚܠܵܐ   ,   ܦܩܲܥܬ݂ܵܐ","مُستوى  ,  سَهْل  ,  مُنْبَسِط"
Lewd ,,ܓܲܝܵܪܵܐ ،  ܓܵܝܘܿܪܵܐ ,"فاسق  ,  داعر  ,  فاجر ,  خليع"
Lewdness,,ܓܲܝܵܪܘ݂ܬ݂ܵܐ ,"فَسقْ  ,  فِجور ,  خلاعة "
Lexicon,,"ܦܘ݂ܫܵܩ ( ܡܸ̈ܠܸܐ , ܚܲܫ̈ܚܵܬ݂ܵܐ )   ,   ܠܸܟܣܝ݂ܩܘܿܢ","قاموس  ,  معجم "
Liar,,"ܕܲܓܵܠܵܐ   ,   ܫܲܩܵܪܵܐ   ,   ܙܸܐܦܵܢܵܐ","كذاب  ,  دجال  ,  كذوب "
Libel ,,ܨܵܥܲܪܬܵܐ ،  ܫܘ݂ܟ݂ܪܵܐ ،  ܗܵ ܓܝܘ݂ܬ݂ܵܐ ,"طعنْ  ,  قّذفْ  ,  تشهير  ,  شتمْ"
Liberal,,"ܡܛܲܝܒ݂ܵܐ ,  ܫܦܝ݂ܥ ܥܲܝܢܵܐ    -      ܡܚܘܿܪ݀ܪܵܐ","سخي  ,  كريم     -      مُتحرر  ,  تحرري"
Liberality ,,ܚܘ݂ܪܵܪܵܐ ,"تحرّرْ  ,  التحرّر "
Liberate,,ܡܚܵܪܹܪ ܘ ܡܚܲܪܘܿܪܹܐ ،  ܦܵܪܹܩ ،  ܦܪܵܩܵܐ ,"يحرر  ,  يعتق  ,  يطلق "
Liberation,,ܚܘ݂ܪܵܪܵܐ,"تَحرير  ,  إطلاق "
Liberator,,"ܡܚܘ݂ܪ݀ܪܵܐ   ,   ܡܦܘ݂ܪܩܵܐ","مُحَرّر  ,  مُعتَق "
Libertine,,"ܥܲܪܕܵܐ   ,   ܓܵܝܘ݂ܪܵܐ","خليع  ,  فاجر ,  فاسق"
Libertinism ,,ܥܲܪܵܕ݂ܘ݂ܬ݂ܵܐ ، ܐܲܫܝ݂ܕ݂ܘ݂ܬ݂ܵܐ ، ܥܲܢܵܬ݂ܘ݂ܬ݂ܵܐ ، ܓܲܘܪܵܐ ،  ܢܛܵܝܘ݂ܬ݂ܵܐ ، ܫܘ݂ܩܪܵܐ ، ܦܲܚܙܘ݂ܬ݂ܵܐ  ,"خلاعة ,  فجور ,  فِسْق ,  الخلاعة ,  الفجور "
Liberty,,"ܚܹܐܪܘ݂ܬ݂ܵܐ   ,   ܫܲܪܝܘ݂ܬ݂ܵܐ",حرية 
Library,,"ܒܹܝܬ݂ ܟܬܵܒܸ̈ܐ   ,   ܒܹܝܬ݂ ܐܲܪ̈ܟܸܐ   ,   ܡܲܟ݂ܬܲܒ݂ܬܵܐ","مَكتبة عامة  ,  دار الكتب "
Lice,,ܩܲܠܡܵܐ,"القَمْل  ,  قملة  ,  قمْل (حشرة)  "
License ,,ܦܣܵܣܵܐ  ،  ܡܲܦܣܵܢܘ݂ܬ݂ܵܐ  ،  ܦܣܵܣܘ݂ܬ݂ܵܐ ,"ترخيص  ,  إذْن "
Lick,,ܠܵܟܹܚ ،  ܛܵܡܹܚ ،  ܠܵܛܹܐ ، ܠܵܥܹܛ ،  ܠܛܵܝܵܐ ،  ܠܟܵܚܵܐ ، ܠܥܵܛܵܐ ، ܠܛܵܝܵܐ ، ܛܡܵܚܵܐ,"يلعق  ,  يلحس "
Licking ,,ܠܟܸܚܠܹܗ  ،  ܠܥܸܛܠܹܗ ,"لَعَقَ  ,  لَحَسَ "
Lickspittle ,,ܡܲܫܦܪܵܢܵܐ  ،  ܚܲܩܵܪܵܐ ,"متملّق  ,  متزلّف "
Lid,,"ܟܣܵܝܵܐ ,  ܣ݀ܬܵܪܵܐ ,  ܘܸܐܠܵܐ    -     ܬܸܡܪܵܐ ، ܬܸܠܦܵܐ ","غِطاء  ,  سُتْرة      -     جفن العين "
Lie,,"ܕܘ݂ܓܠܵܐ   ,   ܕܲܓܵܠܘ݂ܬ݂ܵܐ   ,   ܫܘ݂ܩܪܵܐ","كِذْبٌ , دَجَلٌ"
Life,,ܚܲܝܘ݂ܬ݂ܵܐ  ،  ܫܲܪܒܵܐ ܕܚܲܝܹ̈ܐ  ،  ܕܘ݂ܒܵܪܸ̈ܐ ,"حياة   ,  سيرة "
Lift,,ܡܵܪܹܙ ، ܡܪܵܙܵܐ ، ܬܵܠܹ ، ܬܠܵܝܵܐ ، ܪܲܡܪܸܡ ، ܙܵܩܹܦ ، ܙܩܵܦܵܐ ، ܫܵܩܹܠ ، ܫܩܵܠܵܐ ,"يرفع   ,  يعلّي  ,  يُرَقّي "
Light,,"ܢܘ݂ܗܪܵܐ   ,   ܒܲܗܪܵܐ   ,   ܨܸܡܚܵܐ","نور  ,  ضوء  ,  ضياء"
Lighten ,,ܒܵܗܹܪ ، ܢܵܗܹܪ ، ܡܲܦܪܸܓ݂ ، ܙܵܗܹܪ ، ܨܵܡܹܚ ، ܒܵܠܹܨ، ܒܗܵܪܵܐ، ܙܗܵܪܵܐ، ܨܡܵܚܵܐ,"يضيء  ,  ينير  ,  يسطع"
Lighting ,,ܢܘ݂ܗܪܵܐ  ،  ܡܲܢܗܪܵܢܘ݂ܬ݂ܵܐ  ،  ܡܲܦܪܝܵܢܘ݂ܬ݂ܵܐ ,"إضاءة  ,  إنارة  ,  إشعال "
Lightly ,,ܫܲܦܝܵܐܝ݂ܬ݂  ،  ܢܝ݂ܚܵܐܝ݂ܬ݂  ،  ܦܫܝ݂ܩܵܐܝ݂ܬ݂  ،  ܕܠܝ݂ܠܵܐܝ݂ܬ݂ ,"بسهولة  ,  بِرُفْق  ,  بخِفّة ,  برشاقة "
Like,,"ܐܲܝܟ݂  ,  ܒܲܕܡܘ݂ܬ݂  -   ܡܵܚܹܒ ، ܡܲܚܘܿܒܹܐ   -   ܠܵܚܹܡ ، ܠܚܵܡܵܐ   -   ܒܵܥܹܐ ، ܒܥܵܝܵܐ","مثيل , شبيه , نظير -  يحب   -   يلائم    -    يود , يرغب"
Likely,,"ܡܟ݂ܵܢܵܐ   ,   ܡܸܫܟܿܚܵܢܵܐ","مُحَْتَمَل  ,  ممكن  ,  مُرَجَّح "
Limited ,,ܡܣܲܝܟ݂ܵܐ  ،  ܣܲܘܦܵܝܵܐ ،  ܡܬܲܚܡܵܐ ,محدود 
Limiting ,,ܦܵܣܝ݂ܩܵܐ  ،   ܡܬܲܚܡܵܐ ،  ܡܣܲܝܟ݂ܵܐ ، ܚܛܝ݂ܛܵܐ ,"مُحدَّد  ,  مقيد "
Line,,"ܣܘ݂ܪܛܵܐ   ,   ܣܸܪܛܵܐ","خَط  ,  سَطِر"
Lineage,,"ܝܘ݂ܒܵܠܵܐ , ܛܘܿܗܡܵܐ , ܙܲܪܥܵܐ , ܫܸܪܫܵܐ","ذرية , نَسَب , نَسَل"
Linen ,,ܟܬܵܢܵܐ ,"كُتّان  ,  الكتّان  ,  خيط من كتان "
Linger ,,ܣܵܒܹܪ  ،  ܣܒܵܪܵܐ  ،  ܚܵܡܹܠ  ،  ܚܡܵܠܵܐ ,"يتريّث  ,  يتلبّث "
Lingering,,"ܝܲܩܘ݂ܪܘ݂ܬ݂ܵܐ   ,   ܬܲܘܚܲܪܬܵܐ","إبطاء  ,  تأخّر"
Linguist,,ܡܠܲܫܢܵܢܵܐ,"عالِم اللغات ,  المتكلم لغات متعددة"
Linguistics ,,(ܡܡܲܲܠܠܘ݂ܬ݂ ، ܝܘ݂ܠܦܵܢ) ܠܸܫܵܢܵܐ ,علم اللغة 
Link ,,ܐܲܣܵܪܵܐ  ،  ܕܸܒ݂ܩܵܐ  ،  ܘܲܨܠܵܐ ,"وَصْلَة  ,  رابط  , اداة ربط بين شيئين"
Liniment,,"ܛܦܵܝܵܐ   ,   ܕܲܪܡܵܢܵܐ",مَرْهَم 
Lintel,,"ܐ݉ܣܩܘ݂ܦܬ݂ܵܐ   ,   ܬܲܪܥܘ݂ܬ݂ܵܐ",أُسْكُفية ، عَتبَة الباب
Lion,,ܐܲܪܝܵܐ,أسَد (إسم حيوان)
Lioness,,"ܐܲܪܝ݂ܬ݂ܵܐ   ,   ܐܲܪܝܘ݂ܬ݂ܵܐ",لَبْوة  -  لَبؤة (أنثى الأسد)
Lip,,ܣܸܦܬ݂ܵܐ,شَفَة 
Liquid,,"ܬܸܪܝܵܢܵܐ   ,   ܕܵܝܘܿܒ݂ܵܐ","سائل , مائع "
Liquidity ,,ܦܫܝ݂ܪܘܬ݂ܵܐ  ،  ܫܚܝ݂ܠܘ݂ܬ݂ܵܐ  ,"ميوعة  ,  سيولة "
Liquidize ,,ܡܦܵܫܹܪ  ،  ܡܦܵܫܘܿܪܹܐ ,"يُسَيِّل  ,  يُمَيِّع  ,  يُذَوِّب "
List,,"ܩܵܝܸܡܬ݂ܵܐ  ,  ܣܸܓ݂ܠܵܐ  ,   ܣܘ݂ܪܓܵܕܵܐ  ,  ܠܝ݂ܣܬܵܐ","قائمة , سِجِل , جَدوَل"
Listen,,ܨܵܝܹܬ݂  ، ܨܝܵܬ݂ܵܐ  ،  ܡܲܨܝܘܿܬܹܐ ،  ܫܵܡܹܥ ، ܫܡܵܥܵܐ   ,"يصغي  ,  ينصت  ,  يستمع "
Listless,,ܡܲܐܝ݂ܢܵܐ  ،  ܚܒܸܢܵܢܵܐ  ،  ܬܘܝ݂ܗܵܐ,"كسول  ,  متوان ,  غافِل , أبلة "
Literary ,,ܣܵܦܪܵܝܵܐ ,"أدبي  ,  واسع الإطلاع (على الأدب) "
Literate ,,ܡܘܿܪܕܸܢܵܐ  ، ܪܲܕ݂ܝܵܐ  ،  ܝܲܠܝ݂ܦܵܐ  ،  ܝܲܠܘܿܦܵܐ    ,"مُثقّف  ,  متعلم  ,  غير أمي "
Literatim ,,ܐܵܬ݂݂ܘ݂ܬ݂ܵܢܵܐܝ݂ܬ ,"حرفياً  ,  حرفيّ"
Literature,,ܣܵܦܪܘ݂ܬ݂ܵܐ   ،   ܡܠܝ݂ܠܘ݂ܬ݂ܵܐ  ،  ܣܸܦܪܵܝܘ݂ܬ݂ܵܐ ,"أدَبْ , الأدب  ,  صناعة الأدب "
Litigate ,,ܚܵܟܹܡ  ،  ܚܟܵܡܵܐ  ،  ܕܵܝܹܢ  ،  ܕܝܵܢܵܐ ,"يقاضي  ,  يدين "
Litigious ,,ܚܟܵܡܬܵܐ ,مقاضاة 
Little,,"ܙܥܘܿܪܵܐ ,  ܛܲܠܝܵܐ ,  ܙܵܘܛܵܐ    -   ܩܲܠܝ݂ܠܵܐ ، ܕܲܠܝ݂ܠܵܐ ،  ܒܨܝ݂ܪܵܐ ، ܚܲܣܝ݂ܪܵܐ ",صغير     -     قليل أو ضئيل العدد والكمية
Littoral ,,ܪܝ݂݂ܦܵܝܵܐ ,"ساحلي  ,  منطقة ساحلية "
Live,,"ܚܵܝܵܐ  ,  ܢܦܝ݂ܫܵܐ     -     ܚܵܝܹܐ  ،  ܢܵܚܹܡ  ،  ܚܝܵܝܵܐ ،  ܢܚܵܡܵܐ ","حيٌ  , عائِش    -    يحيا  ,  يعيش "
Liver,,ܟܲܒ݂ܕܵܐ,"كَبد  ,  الكبد"
Livestock ,,ܡܫܲܝ̈ܢܵܬ݂ܵܐ     -     ܩܸܢܝܵܢ̈ܘܵܬ݂ܵܐ  ،  ܩܸܢܝܵܢܹ̈ܐ  ،   ܪ̈ܵܚܫܹܐ ,"دواجن    -      دواب  ,  مواشي  "
Load,,"ܛܲܥܢܵܐ   ,   ܛܥܘ݂ܢܬܵܐ   ,   ܟܲܪܬܵܐ","حمولة  ,  حِمِل"
Loaf ,,ܓܲܪܕܲܝܵܐ ،  ܩܲܪܨܬ݂ܵܐ ، ܬܲܚܸܪܬܵܐ ، ܪܲܥܦܵܐ ، ܓܪܝ݂ܨܬܵܐ ، ܛܘ݂ܠܡܵܐ ,رغيف 
Loan,,ܡܵܘܙܸܦ ، ܕܵܝܹܢ ،  ܡܲܕܝܸܢ      -      ܝ݂ܙܲܦܬ݂ܵܐ ، ܚܰܘܒܲܐ ، ܚܲܘܒܿܬ݂ܵܐ,"يُقرِض  ,  يُعير      -    قرض ,  إعارة , دين"
Lobby ,,ܨܘ݂ܦܵܐ   ،   ܦܲܣܛܝ݂ܠܵܐ ،  ܒܹܢܩܵܐ ,"رواق  ,  ردهة   "
Local,,"ܕܘ݂ܟܬܵܢܵܝܵܐ   ,   ܕܘ݂ܟܵܢܵܝܵܐ ،  ܕܘ݂ܝܵܪܵܝܵܐ","مَحَلي  ,  موضعي "
Locale ,,"ܕܘ݂ܟܵܐ , ܫܲܘܦܵܐ ،  ܡܲܫܪܝܵܐ  ،  ܕܘ݂ܟܿܬ݂ܵܐ ","مكان  ,  موقع  ,  موضع "
Locality,,"ܡܲܫܪܝܵܐ   ,   ܕܘ݂ܟܵܢܵܐ   ,   ܕܘ݂ܝܵܪܵܐ   ,   ܡܲܥܡܪܵܐ","مَوقَع  ,  موضع  ,  محلية"
Location,,"ܕܘ݂ܟܵܐ   ,   ܫܲܘܦܵܐ ،  ܡܲܫܪܝܵܐ ،  ܒܹܝܬ݂ ܕܘ݂ܝܵܪܵܐ ","موضَع  ,  مَوقَع  ,  مكان  ,  محل  ,  مَرْكَز"
Lock,,"ܩܸܦܠܵܐ   ,   ܩܘ݂ܦܠܵܐ   ,   ܟܲܠܝܵܐ","قِفْلٌ  ,  القفل "
Locker ,,ܒܹܝܬ݂ ܓܲܙܵܐ  ،  ܡܲܚܡܠܵܐ  ،  ܚܸܙܝ݂ܬ݂ܵܐ ,"خزانة  ,  الخزانة "
Locksmith ,,ܩܵܦܘܿܠܵܐ ,"قَفّال  ,  القََفّال  (مصلّح الأقفال أو صانعها)"
Lodger,,"ܐܵܪܚܵܐ   ,   ܥܵܡܘܿܪܵܐ     -    ܐܵܓ݂ܝ݂ܪܵܐ  ","نزيل  ,  ضيف  ,   زائر    -     مُستأجܱر "
Loftiness,,"ܥܸܠܝܘ݂ܬ݂ܵܐ   ,   ܪܵܡܘ݂ܬ݂ܵܐ","سِمو  ,  عِلو  ,  السمو "
Lofty ,,ܫܲܒ݂ܗܪܵܢܵܐ  ،  ܪܵܡܵܢܵܐ    -    ܡܥܲܠܝܵܐ ،  ܥܸܠܵܝܵܐ ،  ܡܪܲܝܡܵܐ ،   ܛܲܪܩܵܐ ,"متكبّر  ,  مُتغطرس     -     رفيع  ,  نبيل "
Logic,,ܝܘ݂ܠܦܲܢ ܡܠܝ݂ܠܘ݂ܬ݂ܵܐ  ،  ܡܠܝ݂ܠܘ݂ܬ݂ܵܐ ,"علم المَنطِق  ,  منطق  ,  المنطق "
Logical,,ܡܠܝ݂ܠܵܝܵܐ  ،  ܡܠܝ݂ܠܵܐ  ،  ܕܵܪܘܿܫܵܝܵܐ ,مَنطِقي
Loitering ,,ܚܵܕܘ݂ܪܵܐ  ،  ܣܵܚܘܿܪܵܐ ,متسكّعْ
Lollipop ,,ܡܨܵܨܵܐ ,"مصاصة  ,  المصاصة "
Lolly ,,ܚܲܠܝܵܐ  ،  ܚܲܠܝܘ݂ܬ݂ܵܐ  ،  ܚܘ݂ܠܝܵܐ ,"حلوى  ,  حلواء  ,  قطعة حلوى"
Lone,,ܝ݂ܚܝ݂ܕܵܝܵܐ   ،   ܦܲܪܝ݂ܕܵܐ   ،  ܚܒ݂ܝ݂ܫܵܝܵܐ,"مُنفَرِد , مُتَوَحّد  ,  منعزل "
Lonely,,ܝ݂ܚܝ݂ܕ݂ܵܝܵܐ  ،  ܒܲܠܚܘܿܕ݂ܵܝܵܐ ،  ܚܒ݂ܝ݂ܫܵܝܵܐ ،  ܡܫܲܘܚܕ݂ܵܐ   ,"مُتوَحّد (من غير رفيق)  ,  متفرّد"
Long ,,ܝܲܪܝ݂݂ܟ݂ܵܐ  ،  ܐܲܪܝ݂ܟ݂ܵܐ ,طويل   
Longevous ,,ܐܲܪܝ݂ܟܲܝ ܫܸܢܹ̈ܐ ، ܐܲܪܝ݂ܟ݂ (ܥܘ݂ܡܪܵܐ ، ܫ̈ܢܲܝܵܐ ، ܝܲܘ̈ܡܵܬ݂ܵܐ) ,"مُعَمّر  ,  طويل العمر  "
Longing,,ܠܗܝ݂ܩܘ݂ܬ݂ܵܐ   ،   ܣܘ݂ܝܵܚܵܐ,"شَوق  ,  إشتياق  ,  توق ,  تشوّق "
Longitude ,,ܣܘ݂ܪܛܵܐ ܐܘ݂݂ܪܟ݂ܵܝܵܐ  ،  ܣܘ݂ܪܵܛ ܝܘ݂ܪܟ݂ܵܐ ،  ܣܘ݂ܪܵܛܵܐ ܕܝܘ݂ܪܟ݂ܵܐ  ,خط الطول 
Look,,ܓܲܫܵܩܬܵܐ   ،   ܚܝܵܪܬܵܐ ، ܚܙܵܝܬܵܐ,"نَظْرة , رؤية"
Looker ,,ܚܵܙܘܿܝܵܐ  ،  ܚܲܙܵܝܵܐ ،  ܚܲܙܝܵܢܵܐ  ,"مُشاهِدْ  ,  ناظِرْ  ,  المُشاهِد  ,  الناظِر "
Loose ,,ܫܸܪܝܵܐ  ،  ܪܸܦܝܵܐ  ،  ܦܟ݂ܝ݂ܟ݂ܵܐ ,"مُرتخي  ,  مفكوك "
Loosen ,,ܫܵܪܹܐ ،  ܫܪܵܝܵܐ ،  ܦܵܟܹܟ݂ ،  ܦܟ݂ܵܟ݂ܵܐ   ,"يفك  ,  يُرخي  ,  يَحل "
Looseness,,ܪܲܦܝܘ݂ܬ݂ܵܐ ، ܪܲܟܝ݂ܚܘ݂ܬܵܐ ,"رَخاوة  ,  نُعُومة ,  ليونة"
Loppy,,ܪܸܦܝܵܐ ، ܫܘ݂ܪܫܝܵܐ,"مترهّل , مُسترخ"
Loquacious,,ܦܪܝ݂ܛ ܠܸܫܵܢܵܐ ، ܬܲܪܬܵܪܵܐ ، ܦܲܩܵܩܵܐ ، ܡܸܠܬ݂ܵܢܵܐ ، ܦܲܛܦܸܛܵܢܵܐ,"ثرثار , مِهذار"
Loquacity,,ܡܬܲܪܬܪܘ݂ܬ݂ܵܐ ، ܡܲܠܵܠܘ݂ܬ݂ܵܐ ، ܪܲܘܥܵܐ ، ܦܵܛܦܵܛܬܵܐ ، ܠܸܙܬ݂ܵܐ,"ثرثرة , هَذّرْ"
Lord,,ܡܵܪܵܐ ،  ܪܲܒܵܐ ، ܐܲܝܟ݂(ܐܲܡܝ݂ܪܵܐ ، ܡܲܠܟܵܐ) ,"سيد , مولى , مثل (أمير , ملك , عاهل)"
Lordship,,ܡܵܪܘ݂ܬ݂ܵܐ   ،   ܪܲܒܘ݂ܬ݂ܵܐ,"ربوبية , سيادة , زعامة"
Lose,,ܚܵܣܹܪ ، ܚܣܵܪܵܐ ، ܛܵܠܹܩ ،  ܛܠܵܩܵܐ ، ܡܣܵܟܹܪ ، ܬܵܒܹܪ ، ܬܒ݂ܵܪܵܐ ، ܛܵܝܹܒܿ ، ܛܝܵܒܵܐ,"يخسر  ,   يفقد  ,  يضيع "
Loser ,,ܚܣܝ݂ܪܵܐ  ،  ܡܘ݂ܩܪܸܡܵܐ  ،  ܚܲܣܝ݂ܪܵܐ ,"خاسر  ,  الخاسر "
Loss,,ܚܘ݂ܣܪܵܢܵܐ ،  ܬܘ݂ܟܵܐ ،  ܢܬ݂ܘ݂ܟ݂ܵܐ ،  ܐܲܒܝ݂ܕ݂ܘ݂ܬ݂ܵܐ  ,"خُسران ,  إضاعة  ,  فُقدان  ,  خسارة "
Lost ,,ܛܵܥܝܵܐ  ،  ܛܠܝ݂ܩܵܐ   ،  ܚܣܝ݂ܪܵܐ ,"ضائِع  ,  ضال  ,  خاسر"
Loot ,,ܒܸܙܬ݂ܵܐ  ،  ܣܠܲܒܬܵܐ ,"غنيمة ,  (كل ما يؤخذ بالقوة)"
Lot,,"ܦܸܣܵܐ   ,   ܣܲܗܡܵܐ   ,   ܦܸܫܟܵܐ","نصيب  ,  حِصّة "
Lottery,,"ܦܸܣܵܐ   ,   ܦܸܫܟܵܐ","قُرعة  ,  يانصيب"
Loud ,,"ܙܥܝ݂ܩܵܐ  ،  ܪܲܘܒܵܢܵܐ  ,  ܪܵܡܵܐ  ،  ܥܸܠܵܝܵܐ ","مُدَوٍ  ,  صاخب ,  كثير الضجيج  , مرتفع  , عالٍ "
Louse,,ܩܲܠܡܵܐ,قَملة ( إسم حشرة )
Loutish ,,ܙܲܥܘܿܦܵܐ ،  ܥܲܓ݂ܪܵܐ ،  ܣܵܪܘܿܫܵܐ ،  ܡܥܲܪܡܵܐ ،  ܩܲܫܝܵܐ ،  ܩܲܪܣܵܐ ,"جِلْف  ,  غليظ  ,  فَظٌ  ’  جافٍ"
Love,,"ܪܲܚܡܘ݂ܬ݂ܵܐ   ,   ܚܘ݂ܒܵܐ  ،  ܝܲܕܿܝ݂ܕ݂ܘ݂ܬ݂ܵܐ ","مَحََبّة  ,  مَوَدَّة   "
Lovely ,,ܡܲܚܒ݂ܵܢܵܐ ،  ܪܵܚܡܵܐ ،  ܪܵܚܘܿܡܵܐ ،  ܚܘ݂ܒܵܢܵܝܵܐ ،  ܪܸܚܡܬ݂ܵܢܵܝܵܐ ,"مُحَبّب  ,   مُحِب الى النفس "
Lover ,,ܫܵܢܘܿܓ݂ܵܐ  ،  ܡܵܚܘܿܙܵܐ  ،  ܫܢܝ݂ܓ݂ܵܐ  ،  ܡܵܟ݂ܘܿܪܵܐ ,"عاشِق  ,  العاشق "
Low,,"ܟܘܿܦܵܐ   ,   ܪܟܘܿܢܵܐ","مُنْخَفِض  ,  واطئ"
Lower,,ܬܲܚܬܵܝܵܐ  ،  ܥܸܩܒ݂ܵܐ  ،  ܫܸܬܵܐ  ،  ܟܘܿܦܵܐ ،  ܐܸܫܬܵܐ  ،  ܐܸܫܲܬ݂ ,"أسَفل  ,  أدنى  ,  أوطأ "
Lowly,,ܟܘ݂ܦܵܐ ،  ܬܒ݂ܝ݂ܪܵܐ  ،  ܫܲܦܠܵܐ    -    ܡܲܟܝ݂ܟ݂ܵܐ ،  ܬܲܡܝ݂ܡܵܐ ,"وضيع  ,  مُنحَظ ,  حقير    -     متواضع ,  وديع "
Loyal,,"ܡܗܲܝܡܢܵܐ   ,   ܫܲܪܝ݂ܪܵܐ   ,   ܬܟ݂ܝ݂ܠܵܐ","أمينْ  ,  صادِق  , وفي ,   موثوق به"
Loyalty,,"ܬܲܡܝ݂ܡܘ݂ܬ݂ܵܐ ، ܡܗܘܿܡܢܘ݂ܬ݂ܵܐ ,  ܫܲܦܝܘ݂ܬ݂ܵܐ ،  ܫܘ݂ܡܠܵܝܵܐ ،  ܡܗܲܝܡܢܘ݂ܬ݂ܵܐ","أمانة  , وفاء  ,  تَفانٍ  ,  إخلاص "
Lucency ,,ܓܲܠܝܘ݂ܬ݂ܵܐ  ،  ܣܲܚܝ݂ܚܘ݂ܬ݂ܵܐ  ،  ܩܲܨܝ݂ܦܘ݂ܬ݂ܵܐ ,"وضوح  ,  شفافية "
Luck,,"ܓܲܕܵܐ   ,   ܚܸܠܩܵܐ","حَظْ  ,  بَخْت"
Luckless ,,ܒܵܝܫܵܐ  ،  ܒܝ݂ܫ ܓܲܕܵܐ ,"منحوس  ,  قليل الحظ  ,  مشؤوم "
Lucky,,ܓܲܕܵܝܵܐ,"محظوظ  ,  مَبخوت  ,  حَسَن الحظّ "
Lucre,,"ܩܢܵܝܬܵܐ   ,   ܪ݀ܒ݂ܚܵܐ   ,   ܝܘ݂ܬ݂ܪܵܢܵܐ","رِبحٌ  ,  مَكسبٌ"
Luculent ,,ܓܲܠܝܵܐ  ،  ܝ݂ܕ݂ܝ݂ܥܵܐ ,"واضح  ,  جَليّ"
Ludicrous,,ܓܘ݂ܚܟܵܢܵܐ  ،  ܡܸܲܓܚܟܵܢܵܐ  ،  ܡܓܲܚܟܵܢܵܐ ,مُضحِكٌ
Luggage,,ܟܲܪ̈ܦܵܬ݂ܵܐ   ،   ܣܦܵܩܹ̈ܐ  ،  ܡܲܐܢܹ̈ܐ   ,"أمتِعة  ,  حاجيات  ,  حقائب سفر "
Lumber,,ܩܲܝܣܹ̈ܐ,أخشاب 
Lunch,,"ܬܘ݂ܪܣܵܝܵܐ   ,   ܫܵܪܘ݂ܬ݂ܵܐ",غداء
Lung,,ܪܵܐܬܵܐ,رِئة 
Lust,,"ܪܓ݂ܝ݂ܓ݂ܘ݂ܬ݂ܵܐ   ,   ܪܸܓܿܬ݂ܵܐ   ,   ܪܘ݂ܓܵܐ","شَهوة  ,  رَغبة   "
Lustful,,"ܪܸܓ݂ܬ݂ܵܢܵܐ   ,   ܪܸܓܿܬ݂ܵܢܵܝܵܐ   ,   ܡܥܲܪܕܵܢܵܐ",شَهواني 
Lustre,,"ܦܲܐܝܘ݂ܬ݂ܵܐ   ,   ܙܲܗܝܘ݂ܬ݂ܵܐ","بهاء  ,  رَوْنَقٌ"
Luxury ,,ܦܘ݂ܪܦܵܥܵܐ ،  ܒܘ݂ܕܵܚܵܐ ،  ܒܘ݂ܣܵܡܵܐ ،  ܥܘ݂ܕܵܢܵܐ ،  ܕܘ݂ܗܵܢܵܐ ،  ܦܘ݂ܢܵܩܵܐ ,"تَرَفْ  ,  رفاهية "
